Time, Values
2022-10-15 14:54, [5.815366779831863 0.05335198880579691]
2022-10-15 14:56, [5.539153175820635 0.05035593796200578]
2022-10-15 14:57, [5.533949105552635 0.0507701752802994]
2022-10-15 14:58, [5.4348540698638415 0.0532828830378808]
2022-10-15 14:59, [5.6957419727012795 0.055298465754381354]
2022-10-15 15:00, [5.786433735659522 0.056729742506465904]
2022-10-15 15:01, [5.887714425262346 0.054515874307984685]
2022-10-15 15:02, [5.561701474452292 0.04965804887903832]
2022-10-15 15:03, [5.528850714934252 0.05167150200873132]
2022-10-15 15:04, [5.385134310112798 0.052282857379735904]
2022-10-15 15:05, [5.387170831500975 0.05179971953366322]
2022-10-15 15:06, [5.448733406638147 0.050922742118113526]
2022-10-15 15:07, [5.53930276208394 0.0499036284872427]
2022-10-15 15:08, [5.544340246851714 0.0513364837671455]
2022-10-15 15:13, [5.79142462907009 0.048667433857731854]
2022-10-15 15:14, [5.539400593877988 0.048591233279631475]
2022-10-15 15:15, [5.746888079579532 0.049542138617064926]
2022-10-15 15:16, [5.534308503062631 0.04812442176576201]
2022-10-15 15:20, [5.441191683068911 0.04815213878822045]
2022-10-15 15:21, [5.448803744634561 0.04998902518013359]
2022-10-15 15:22, [5.891566444763356 0.051231012563159616]
2022-10-15 15:23, [5.848554396294177 0.05268967924589349]
2022-10-15 15:24, [5.71026557140562 0.05543947156704486]
2022-10-15 15:25, [5.695577892825119 0.05583899894926587]
2022-10-15 15:28, [5.550097346222204 0.04955444059126968]
2022-10-15 15:29, [5.8818898977231235 0.050705947394164855]
2022-10-15 15:30, [5.818160886535143 0.049727870825086694]
2022-10-15 15:31, [5.555863012679048 0.04916692931574378]
2022-10-15 15:32, [5.533949105552635 0.0507701752802994]
2022-10-15 15:33, [5.434923066963764 0.052258875643882347]
2022-10-15 15:34, [5.533769708515306 0.05220537460863497]
2022-10-15 15:35, [5.3871229420118105 0.05281493080403736]
2022-10-15 15:36, [5.389257819446077 0.05084205490043469]
2022-10-15 15:37, [5.432098572003368 0.051246212943428]
2022-10-15 15:38, [5.395611189913695 0.04950102009095133]
2022-10-15 15:39, [5.391421513516162 0.04901292285014693]
2022-10-15 15:40, [5.4457176665800215 0.051863977776952584]
2022-10-15 15:41, [5.435130236631694 0.04941027487846995]
2022-10-15 15:42, [5.523965704666518 0.0521128840062879]
2022-10-15 15:51, [5.442723744993087 0.053360036715618495]
2022-10-15 15:52, [5.764685554805961 0.054383825988735486]
2022-10-15 15:53, [5.5560689371313865 0.04789714600975333]
2022-10-15 15:54, [5.884149151304361 0.049034576260869676]
2022-10-15 15:55, [5.8943756851849125 0.04911979737654094]
2022-10-15 15:56, [5.561701474452292 0.04965804887903832]
2022-10-15 15:57, [5.94421967364641 0.0535515285914091]
2022-10-15 15:58, [5.777968574231822 0.053008886002126804]
2022-10-15 15:59, [5.726834146646787 0.054026737232516865]
2022-10-15 16:00, [5.764181576904779 0.055424822854853645]
2022-10-15 16:01, [5.523965704666518 0.0521128840062879]
2022-10-15 16:02, [5.432030779737516 0.05223106518978381]
2022-10-15 16:03, [5.391274030239664 0.051839173367689076]
2022-10-15 16:04, [5.342654960818099 0.057447902804495694]
2022-10-15 16:05, [5.382959962265232 0.05666273644489719]
2022-10-15 16:06, [5.434416880469751 0.052254008466055296]
2022-10-15 16:07, [5.442757616054407 0.05284230695198453]
2022-10-15 16:10, [5.524416095230177 0.04845979030903664]
2022-10-15 16:11, [5.513621506304056 0.048793110675257136]
2022-10-15 16:12, [5.448909309532494 0.0486509759779687]
2022-10-15 16:13, [5.44008426680524 0.050371150618567034]
2022-10-15 16:14, [5.514673853855571 0.05252070337005306]
2022-10-15 16:15, [5.716039627576709 0.054438472643587706]
2022-10-15 16:16, [5.682728070759117 0.0541212197215154]
2022-10-15 16:17, [5.428974121769287 0.05375221902741869]
2022-10-15 16:18, [5.437192806443276 0.051782788632793106]
2022-10-15 16:19, [5.387266653421669 0.049882098642793235]
2022-10-15 16:21, [5.389427744533918 0.04769405083658334]
2022-10-15 16:22, [5.4550868882179 0.04743553815841652]
2022-10-15 16:23, [5.816757745410363 0.0514757322602687]
2022-10-15 16:24, [5.805963299630229 0.051838958032412764]
2022-10-15 16:25, [5.544085092039905 0.0533085105003837]
2022-10-15 16:26, [5.550031185936915 0.050000280954386626]
2022-10-15 16:27, [5.528966675735151 0.050724464915001384]
2022-10-15 16:28, [5.518114096706001 0.05157115978229908]
2022-10-15 16:29, [5.791126706014167 0.04907734496622176]
2022-10-15 16:30, [5.556206367210723 0.047086494637379]
2022-10-15 16:31, [5.533949105552635 0.0507701752802994]
2022-10-15 16:32, [5.519170597371122 0.05306894805164541]
2022-10-15 16:33, [5.5098873458994815 0.05622334026428042]
2022-10-15 16:34, [5.710805676970218 0.05387552525443602]
2022-10-15 16:35, [5.385276248906 0.04940620411840367]
2022-10-15 16:39, [5.533530824347651 0.054250302199486775]
2022-10-15 16:40, [5.378390444885323 0.05272931808711101]
2022-10-15 16:41, [5.533530824347651 0.054250302199486775]
2022-10-15 16:44, [5.538967862566685 0.05176605479034285]
2022-10-15 16:45, [5.744422637250598 0.054708787021434266]
2022-10-15 16:46, [5.695250236063246 0.056952502360632457]
2022-10-15 16:47, [5.523460523307076 0.05694289199285645]
2022-10-15 16:48, [5.43706198441431 0.05383229687538921]
2022-10-15 16:49, [5.505489929863379 0.05734885343607687]
2022-10-15 16:50, [5.428911966596634 0.054837494612087215]
2022-10-15 16:53, [5.544212618678347 0.052303892629041004]
2022-10-15 16:54, [5.426332781586892 0.05319934099594992]
2022-10-15 16:56, [5.445579702080075 0.053916630713664114]
2022-10-15 16:57, [5.7264360346294145 0.05506188494835976]
2022-10-15 17:01, [5.445924836226141 0.04906238591194722]
2022-10-15 17:02, [5.445993952316329 0.04819463674616221]
2022-10-15 17:07, [5.448733406638147 0.050922742118113526]
2022-10-15 17:08, [5.391274030239664 0.051839173367689076]
2022-10-15 17:09, [5.389306351093476 0.049900984732347005]
2022-10-15 17:10, [5.45817404720961 0.047878719712365]
2022-10-15 17:11, [5.455160070701312 0.04662529974958386]
2022-10-15 17:12, [5.545343054546849 0.047804681504714217]
2022-10-15 17:13, [5.790532515880966 0.04991838375759454]
2022-10-15 17:14, [5.791126706014167 0.04907734496622176]
2022-10-15 17:15, [5.853308898985741 0.04797794179496509]
